Area,Subzone,Population
Ang Mo Kio,Ang Mo Kio Town Centre,5020
Ang Mo Kio,Cheng San,29770
Ang Mo Kio,Chong Boon,27900
Ang Mo Kio,Kebun Bahru,23910
Ang Mo Kio,Sembawang Hills,6890
Ang Mo Kio,Shangri-la,18510
Ang Mo Kio,Tagore,8350
Ang Mo Kio,Townsville,23770
Ang Mo Kio,Yio Chu Kang,30
Ang Mo Kio,Yio Chu Kang East,4080
Ang Mo Kio,Yio Chu Kang North,-
Ang Mo Kio,Yio Chu Kang West,26550
Bedok,Bayshore,7480
Bedok,Bedok North,85930
Bedok,Bedok Reservoir,25400
Bedok,Bedok South,51190
Bedok,Frankel,33570
Bedok,Kaki Bukit,40820
Bedok,Kembangan,38440
Bedok,Siglap,6930
Bishan,Bishan East,28820
Bishan,Marymount,31540
Bishan,Upper Thomson,30340
Boon Lay,Liu Fang,10
Boon Lay,Samulun,10
Boon Lay,Shipyard,-
Boon Lay,Tukang,10
Bukit Batok,Brickworks,-
Bukit Batok,Bukit Batok Central,26060
Bukit Batok,Bukit Batok East,14570
Bukit Batok,Bukit Batok South,13940
Bukit Batok,Bukit Batok West,15190
Bukit Batok,Gombak,9820
Bukit Batok,Guilin,13130
Bukit Batok,Hillview,18220
Bukit Batok,Hong Kah North,28340
Bukit Merah,Alexandra Hill,15650
Bukit Merah,Alexandra North,1000
Bukit Merah,Bukit Ho Swee,16290
Bukit Merah,Bukit Merah,1190
Bukit Merah,City Terminals,40
Bukit Merah,Depot Road,5200
Bukit Merah,Everton Park,9010
Bukit Merah,Henderson Hill,12870
Bukit Merah,Kampong Tiong Bahru,10460
Bukit Merah,Maritime Square,2560
Bukit Merah,Redhill,12210
Bukit Merah,Singapore General Hospital,10
Bukit Merah,Telok Blangah Drive,16000
Bukit Merah,Telok Blangah Rise,13820
Bukit Merah,Telok Blangah Way,10690
Bukit Merah,Tiong Bahru,12190
Bukit Merah,Tiong Bahru Station,16670
Bukit Panjang,Bangkit,23800
Bukit Panjang,Dairy Farm,5390
Bukit Panjang,Fajar,26770
Bukit Panjang,Jelebu,33470
Bukit Panjang,Nature Reserve,3870
Bukit Panjang,Saujana,25530
Bukit Panjang,Senja,20200
Bukit Timah,Anak Bukit,21990
Bukit Timah,Coronation Road,6170
Bukit Timah,Farrer Court,4680
Bukit Timah,Hillcrest,8810
Bukit Timah,Holland Road,10280
Bukit Timah,Leedon Park,6260
Bukit Timah,Swiss Club,5550
Bukit Timah,Ulu Pandan,10730
Central Water Catchment,Central Water Catchment,10
Changi,Changi Airport,-
Changi,Changi Point,790
Changi,Changi West,1740
Changi Bay,Changi Bay,-
Choa Chu Kang,Choa Chu Kang Central,21400
Choa Chu Kang,Choa Chu Kang North,34380
Choa Chu Kang,Keat Hong,15660
Choa Chu Kang,Peng Siang,32130
Choa Chu Kang,Teck Whye,27040
Choa Chu Kang,Yew Tee,43710
Clementi,Clementi Central,13490
Clementi,Clementi North,28730
Clementi,Clementi West,16470
Clementi,Clementi Woods,16400
Clementi,Faber,4320
Clementi,Pandan,10
Clementi,Sunset Way,6290
Clementi,Toh Tuck,40
Clementi,West Coast,5890
Downtown Core,Anson,80
Downtown Core,Bayfront Subzone,-
Downtown Core,Bugis,2330
Downtown Core,Cecil,160
Downtown Core,Central Subzone,480
Downtown Core,City Hall,60
Downtown Core,Clifford Pier,-
Downtown Core,Marina Centre,20
Downtown Core,Maxwell,-
Downtown Core,Philip,-
Downtown Core,Raffles Place,60
Downtown Core,Tanjong Pagar,520
Geylang,Aljunied,41710
Geylang,Geylang East,33380
Geylang,Kallang Way,40
Geylang,Kampong Ubi,13210
Geylang,Macpherson,28630
Hougang,Defu Industrial Park,20
Hougang,Hougang Central,4830
Hougang,Hougang East,21940
Hougang,Hougang West,50120
Hougang,Kangkar,26080
Hougang,Kovan,25640
Hougang,Lorong Ah Soo,34180
Hougang,Lorong Halus,-
Hougang,Tai Seng,14700
Hougang,Trafalgar,44800
Jurong East,International Business Park,10
Jurong East,Jurong Gateway,20
Jurong East,Jurong Port,10
Jurong East,Jurong River,10
Jurong East,Lakeside,1010
Jurong East,Penjuru Crescent,10
Jurong East,Teban Gardens,19080
Jurong East,Toh Guan,16510
